Sl No,Name,Symbol
1,ACC LIMITED,ACC
2,ADANI ENTERPRISES LIMITED,ADANIENT
3,ADANI PORT & SEZ LTD,ADANIPORTS
4,ADANI POWER LTD,ADANIPOWER
5,AJANTA PHARMA LIMITED,AJANTPHARM
6,ALLAHABAD BANK,ALBK
7,AMARA RAJA BATTERIES LTD.,AMARAJABAT
8,AMBUJA CEMENTS LTD,AMBUJACEM
9,ANDHRA BANK,ANDHRABANK
10,APOLLO HOSPITALS ENTER. L,APOLLOHOSP
11,APOLLO TYRES LTD,APOLLOTYRE
12,ARVIND LIMITED,ARVIND
13,ASHOK LEYLAND LTD,ASHOKLEY
14,ASIAN PAINTS LIMITED,ASIANPAINT
15,AUROBINDO PHARMA LTD,AUROPHARMA
16,AXIS BANK LIMITED,AXISBANK
17,BAJAJ AUTO LIMITED,BAJAJ-AUTO
18,BAJAJ FINANCE LIMITED,BAJFINANCE
19,BAJAJ FINSERV LIMITED,BAJAJFINSV
20,BALKRISHNA INDUSTRIES LIMITED,BALKRISIND
21,BALRAMPUR CHINI MILLS LIMITED,BALRAMCHIN
22,BANK OF BARODA,BANKBARODA
23,BANK OF INDIA,BANKINDIA
24,BATA INDIA LTD,BATAINDIA
25,BEML LIMITED,BEML
26,BERGER PAINTS (I) LIMITED,BERGEPAINT
27,BHARAT ELECTRONICS LTD,BEL
28,BHARAT FIN INCLUSION LTD,BHARATFIN
29,BHARAT FORGE LTD,BHARATFORG
30,BHARAT PETROLEUM CORP LT,BPCL
31,BHARTI AIRTEL LIMITED,BHARTIARTL
32,BHARTI INFRATEL LTD.,INFRATEL
33,BHEL,BHEL
34,BIOCON LIMITED.,BIOCON
35,BOSCH LIMITED,BOSCHLTD
36,BRITANNIA INDUSTRIES LTD,BRITANNIA
37,CADILA HEALTHCARE LIMITED,CADILAHC
38,CAN FIN HOMES LIMITED,CANFINHOME
39,CANARA BANK,CANBK
40,CAPITAL FIRST LIMITED,CAPF
41,CASTROL INDIA LIMITED,CASTROLIND
42,CEAT LIMITED,CEATLTD
43,CENTURY TEXTILES LTD,CENTURYTEX
44,CESC LTD,CESC
45,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CGPOWER
46,CHENNAI PETROLEUM CORPORATION LIMITED,CHENNPETRO
47,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN
48,CIPLA LTD,CIPLA
49,COAL INDIA LTD,COALINDIA
50,COLGATE PALMOLIVE LTD.,COLPAL
51,CONTAINER CORP OF IND LTD,CONCOR
52,CUMMINS INDIA LTD,CUMMINSIND
53,DABUR INDIA LTD,DABUR
54,DALMIA BHARAT LIMITED,DALMIABHA
55,DCB BANK LIMITED,DCBBANK
56,DEWAN HOUSING FIN CORP LT,DHFL
57,DISH TV INDIA LTD.,DISHTV
58,DIVI'S LABORATORIES LTD,DIVISLAB
59,DLF LIMITED,DLF
60,DR. REDDY'S LABORATORIES,DRREDDY
61,EICHER MOTORS LTD,EICHERMOT
62,ENGINEERS INDIA LTD,ENGINERSIN
63,EQUITAS HOLDINGS LIMITED,EQUITAS
64,ESCORTS LIMITED,ESCORTS
65,EXIDE INDUSTRIES LTD,EXIDEIND
66,FEDERAL BANK LTD,FEDERALBNK
67,FORTIS HEALTHCARE LIMITED,FORTIS
68,GAIL (INDIA) LTD,GAIL
69,GLENMARK PHARMACEUTICALS,GLENMARK
70,GMR INFRASTRUCTURE LTD.,GMRINFRA
71,GODFREY PHILLIPS INDIA LIMITED,GODFRYPHLP
72,GODREJ CONSUMER PRODUCTS,GODREJCP
73,GODREJ INDUSTRIES LTD,GODREJIND
74,GRANULES INDIA LIMITED,GRANULES
75,GRASIM INDUSTRIES LTD,GRASIM
76,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,GSFC
77,HAVELLS INDIA LIMITED,HAVELLS
78,HCL TECHNOLOGIES LTD,HCLTECH
79,HDFC BANK LTD,HDFCBANK
80,HDFC LTD,HDFC
81,HERO MOTOCORP LIMITED,HEROMOTOCO
82,HEXAWARE TECHNOLOGIES LTD,HEXAWARE
83,HINDALCO INDUSTRIES LTD,HINDALCO
84,HINDUSTAN CONSTRUCTION COMPANY LIMITED,HCC
85,HINDUSTAN PETROLEUM CORP,HINDPETRO
86,HINDUSTAN UNILEVER LTD.,HINDUNILVR
87,HINDUSTAN ZINC LIMITED,HINDZINC
88,HOUSING DEV & INFRA LTD,HDIL
89,ICICI BANK LTD.,ICICIBANK
90,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
91,IDBI BANK LIMITED,IDBI
92,IDEA CELLULAR LIMITED,IDEA
93,IDFC BANK LIMITED,IDFCBANK
94,IDFC LIMITED,IDFC
95,IFCI LTD,IFCI
96,INDIABULLS HSG FIN LTD,IBULHSGFIN
97,INDIABULLS REAL EST. LTD,IBREALEST
98,INDIAN BANK,INDIANB
99,INDIAN OIL CORP LTD,IOC
100,INDO COUNT INDUSTRIES LTD,ICIL
101,INDRAPRASTHA GAS LTD,IGL
102,INDUSIND BANK LIMITED,INDUSINDBK
103,INFIBEAM INCORPORATION LIMITED,INFIBEAM
104,INFOSYS LIMITED,INFY
105,INTERGLOBE AVIATION LIMITED,INDIGO
106,IRB INFRA DEV LTD.,IRB
107,ITC LTD,ITC
108,JAIN IRRIGATION SYSTEMS,JISLJALEQS
109,JAIPRAKASH ASSOCIATES LTD,JPASSOCIAT
110,JET AIRWAYS (INDIA) LTD.,JETAIRWAYS
111,JINDAL STEEL & POWER LTD,JINDALSTEL
112,JSW ENERGY LIMITED,JSWENERGY
113,JSW STEEL LIMITED,JSWSTEEL
114,JUBILANT FOODWORKS LTD,JUBLFOOD
115,JUSTDIAL LTD.,JUSTDIAL
116,KAJARIA CERAMICS LIMITED,KAJARIACER
117,KARNATAKA BANK LIMITED,KTKBANK
118,KAVERI SEED CO. LTD.,KSCL
119,KOTAK MAHINDRA BANK LTD,KOTAKBANK
120,KPIT TECHNOLOGIES LTD,KPIT
121,L&T FINANCE HOLDINGS LTD,L&TFH
122,LARSEN & TOUBRO LTD.,LT
123,LIC HOUSING FINANCE LTD,LICHSGFIN
124,LUPIN LIMITED,LUPIN
125,M&M FIN. SERVICES LTD,M&MFIN
126,MAHANAGAR GAS LIMITED,MGL
127,MAHINDRA & MAHINDRA LTD,M&M
128,MANAPPURAM FINANCE LIMITED,MANAPPURAM
129,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,MRPL
130,MARICO LIMITED,MARICO
131,MARUTI SUZUKI INDIA LTD.,MARUTI
132,MAX FINANCIAL SERVICES LIMITED,MFSL
133,MINDTREE LIMITED,MINDTREE
134,MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI
135,MRF LTD,MRF
136,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,MCX
137,MUTHOOT FINANCE LIMITED,MUTHOOTFIN
138,NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
139,NBCC (INDIA) LIMITED,NBCC
140,NCC LIMITED,NCC
141,NESTLE INDIA LIMITED,NESTLEIND
142,NHPC LTD,NHPC
143,NIIT TECHNOLOGIES LTD,NIITTECH
144,NMDC LTD.,NMDC
145,NTPC LTD,NTPC
146,OIL AND NATURAL GAS CORP.,ONGC
147,OIL INDIA LTD,OIL
148,ORACLE FIN SERV SOFT LTD.,OFSS
149,ORIENTAL BANK OF COMMERCE,ORIENTBANK
150,PAGE INDUSTRIES LTD,PAGEIND
151,PC JEWELLER LTD,PCJEWELLER
152,PETRONET LNG LIMITED,PETRONET
153,PIDILITE INDUSTRIES LTD,PIDILITIND
154,PIRAMAL ENTERPRISES LIMITED,PEL
155,POWER FIN CORP LTD.,PFC
156,POWER GRID CORP. LTD.,POWERGRID
157,PTC INDIA LIMITED,PTC
158,PUNJAB NATIONAL BANK,PNB
159,PVR LIMITED,PVR
160,RAYMOND LIMITED,RAYMOND
161,RBL BANK LIMITED,RBLBANK
162,RELIANCE CAPITAL LTD,RELCAPITAL
163,RELIANCE COMMUNICATIONS L,RCOM
164,RELIANCE DEFENCE AND ENGINEERING LIMITED,RDEL
165,RELIANCE INDUSTRIES LTD,RELIANCE
166,RELIANCE INFRASTRUCTU LTD,RELINFRA
167,RELIANCE POWER LTD.,RPOWER
168,REPCO HOME FINANCE LIMITED,REPCOHOME
169,RURAL ELEC CORP. LTD.,RECLTD
170,SHREE CEMENTS LIMITED,SHREECEM
171,SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN
172,SIEMENS LTD,SIEMENS
173,SINTEX INDUSTRIES LTD,SINTEX
174,SREI INFRASTRUCTURE FINANCE LIMITED,SREINFRA
175,SRF LTD,SRF
176,STATE BANK OF INDIA,SBIN
177,STEEL AUTHORITY OF INDIA,SAIL
178,STRIDES SHASUN LIMITED,STAR
179,SUN PHARMACEUTICALS IND.,SUNPHARMA
180,SUN TV NETWORK LIMITED,SUNTV
181,SUZLON ENERGY LIMITED,SUZLON
182,SYNDICATE BANK,SYNDIBANK
183,TATA CHEMICALS LTD,TATACHEM
184,TATA COMMUNICATIONS LTD,TATACOMM
185,TATA CONSULTANCY SERV LT,TCS
186,TATA ELXSI LIMITED,TATAELXSI
187,TATA GLOBAL BEVERAGES LTD,TATAGLOBAL
188,TATA MOTORS DVR 'A' ORD,TATAMTRDVR
189,TATA MOTORS LIMITED,TATAMOTORS
190,TATA POWER CO LTD,TATAPOWER
191,TATA STEEL LIMITED,TATASTEEL
192,TECH MAHINDRA LIMITED,TECHM
193,THE INDIA CEMENTS LIMITED,INDIACEM
194,THE RAMCO CEMENTS LIMITED,RAMCOCEM
195,THE SOUTH INDIAN BANK LTD,SOUTHBANK
196,TITAN COMPANY LIMITED,TITAN
197,TORRENT PHARMACEUTICALS L,TORNTPHARM
198,TORRENT POWER LTD,TORNTPOWER
199,TV18 BROADCAST LIMITED,TV18BRDCST
200,TVS MOTOR COMPANY LTD,TVSMOTOR
201,UJJIVAN FINANCIAL SERVICES LIMITED,UJJIVAN
202,ULTRATECH CEMENT LIMITED,ULTRACEMCO
203,UNION BANK OF INDIA,UNIONBANK
204,UNITED BREWERIES LTD,UBL
205,UNITED SPIRITS LIMITED,MCDOWELL-N
206,UPL LIMITED,UPL
207,VEDANTA LIMITED,VEDL
208,V-GUARD INDUSTRIES LIMITED,VGUARD
209,VOLTAS LTD,VOLTAS
210,WIPRO LTD,WIPRO
211,WOCKHARDT LIMITED,WOCKPHARMA
212,YES BANK LIMITED,YESBANK
213,ZEE ENTERTAINMENT ENT LTD,ZEEL
